ts_10s,best_level_ofi,deep_ofi_0,deep_ofi_1,deep_ofi_2,deep_ofi_3,deep_ofi_4,deep_ofi_5,deep_ofi_6,deep_ofi_7,deep_ofi_8,deep_ofi_9,Q_M_h,integrated_ofi
2024-10-21 11:54:30+00:00,5,1.4457831325301205,115.66265060240963,2.891566265060241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4583333333333335,5.9454621344929235
2024-10-21 11:54:40+00:00,-399,-53.28881469115192,0.9348914858096828,18.964941569282136,-16.160267111853088,-0.5342237061769616,23.37228714524207,-26.71118530884808,-47.545909849749584,8.948247078464107,12.020033388981636,7.4875,-14.344243992852045
2024-10-21 11:54:50+00:00,0,0.0,18.09110629067245,52.060737527114966,1.3015184381778742,3.644251626898048,1.9522776572668112,14.316702819956616,1.3015184381778742,14.316702819956616,13.015184381778742,7.683333333333334,11.08259678365516
2024-10-21 11:55:00+00:00,-137,14.057835820895521,20.52238805970149,1.0261194029850746,4.617537313432836,8.722014925373134,-40.01865671641791,-13.75,-10.158582089552239,-51.30597014925373,-41.04477611940298,-9.745454545454546,-0.45267333747426225
2024-10-21 11:55:10+00:00,0,0.0,78.58942065491183,-8.866498740554155,8.261964735516372,-19.143576826196472,20.151133501259444,-20.151133501259444,2.0151133501259446,9.06801007556675,10.8816120906801,4.9625,1.477338340478314
2024-10-21 11:55:20+00:00,0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.8467736697603598
2024-10-21 11:55:30+00:00,-200,-25.559105431309902,51.118210862619804,0.0,1.5335463258785942,-12.140575079872205,12.779552715654951,-12.779552715654951,1.2779552715654952,5.7507987220447285,6.900958466453674,7.825,-8.66188417632455
2024-10-21 11:55:40+00:00,-1165,-327.4771609276177,262.2628250175685,168.93886156008432,-64.93323963457485,-91.07519325368939,95.57273366127899,-212.50878425860856,11.806043569922698,62.96556570625439,-193.1131412508784,3.5575,-112.32393699651543
2024-10-21 11:55:50+00:00,29,21.09090909090909,12.363636363636363,-138.1818181818182,134.54545454545453,-69.0909090909091,72.72727272727273,-72.72727272727273,7.2727272727272725,32.72727272727273,39.27272727272727,1.375,-22.37177231849063
2024-10-21 11:56:00+00:00,119,-93.53711790393014,293.1877729257642,-1142.882096069869,191.0043668122271,-180.0,-77.03056768558953,-209.86899563318778,-69.95633187772926,-808.82096069869,43.23144104803494,-1.2722222222222221,-300.2762849146079
2024-10-21 11:56:10+00:00,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-20.0,-0.0,-0.0,-0.1,0.8983679369427456
2024-10-21 11:56:20+00:00,216,-58.13664596273292,158.7991718426501,-157.45341614906832,25.56935817805383,-118.9648033126294,110.89026915113871,-61.36645962732919,-145.07246376811594,200.24844720496893,-309.25465838509314,-3.7153846153846155,-50.32681340883696
2024-10-21 11:56:30+00:00,17,3.6637931034482762,-40.94827586206897,252.1551724137931,-40.94827586206897,43.10344827586207,-43.10344827586207,4.310344827586207,19.181034482758623,23.27586206896552,-21.120689655172416,4.64,44.20654832106461
2024-10-21 11:56:50+00:00,101,33.77926421404682,2.341137123745819,47.49163879598662,-41.80602006688963,1.672240802675585,56.8561872909699,-52.17391304347826,36.78929765886287,82.27424749163879,-133.4448160535117,2.99,21.568716291484407
2024-10-21 11:57:00+00:00,0,0.0,40.10025062656642,0.0,-35.08771929824562,1.0025062656641603,34.08521303258146,-31.278195488721806,22.05513784461153,49.32330827067669,-80.0,4.9875,2.572331065810369
2024-10-21 11:57:10+00:00,102,13.062966915688367,-21.25933831376734,45.080042689434364,9.6051227321238,2.5613660618996796,35.859124866595515,-18.69797225186766,28.175026680896476,44.31163287086446,-44.05549626467449,7.808333333333334,10.51676756599586
2024-10-21 11:57:20+00:00,0,0.0,9.090909090909092,-186.60287081339715,100.47846889952154,-43.0622009569378,129.1866028708134,-122.48803827751198,57.41626794258374,139.23444976076556,-165.07177033492823,2.09,-41.24754174857863
2024-10-21 11:57:30+00:00,357,169.8444647758463,242.15919487648674,-186.49588289112535,-331.1253430924062,-26.166514181152788,-111.80237877401646,-99.90850869167429,-73.7419945105215,51.381518755718204,-117.98719121683439,2.101923076923077,79.52414298015724
2024-10-21 11:57:40+00:00,501,137.26027397260273,27.67123287671233,-50.136986301369866,101.0958904109589,-84.93150684931507,31.506849315068493,49.31506849315068,-12.602739726027398,57.534246575342465,82.46575342465754,3.65,48.96126324395127
2024-10-21 11:57:50+00:00,0,0.0,81.83520599250937,408.3146067415731,106.38576779026218,-325.187265917603,248.52059925093633,-166.2546816479401,-2.5842696629213484,230.8614232209738,27.134831460674157,2.3217391304347825,56.14231951221085
2024-10-21 11:58:00+00:00,0,0.0,0.0,0.0,0.0,-328.57142857142856,-12.0,179.42857142857142,-292.57142857142856,100.57142857142857,193.14285714285714,1.75,12.676634811914518
2024-10-21 11:58:10+00:00,0,-0.0,-0.0,-99.76470588235294,50.016806722689076,18.823529411764707,-26.89075630252101,-72.87394957983193,27.428571428571427,-83.09243697478992,-188.23529411764707,-3.71875,-41.48490849910011
2024-10-21 11:58:20+00:00,65,106.24999999999999,0.0,326.9230769230769,326.9230769230769,-286.05769230769226,-1539.8076923076922,841.826923076923,-809.1346153846154,212.49999999999997,1134.423076923077,0.611764705882353,180.08482167714442
2024-10-21 11:58:30+00:00,0,0.0,19.51219512195122,0.975609756097561,0.0,0.0,-19.51219512195122,0.0,0.0,0.0,0.0,10.25,0.8796396715105707
